iter	Passed	Remaining
455	794	1612
456	796	1610
457	799	1610
458	800	1608
459	802	1606
460	804	1605
461	807	1606
462	810	1607
463	812	1605
464	813	1603
465	815	1600
466	816	1598
467	818	1596
468	819	1593
469	820	1590
470	822	1589
471	824	1588
472	826	1586
473	828	1585
474	830	1583
475	831	1580
476	832	1578
477	835	1579
478	837	1577
479	839	1576
480	841	1574
481	842	1572
482	844	1569
483	845	1567
484	846	1564
485	848	1561
486	849	1560
487	853	1561
488	854	1558
489	856	1557
490	857	1555
491	859	1552
492	860	1550
493	863	1549
494	865	1549
495	868	1549
496	870	1547
497	872	1547
498	874	1545
499	876	1543
500	879	1544
501	880	1541
502	882	1539
503	883	1537
504	884	1534
505	887	1534
506	889	1532
507	890	1530
508	894	1531
509	896	1530
510	898	1529
511	900	1528
512	902	1526
513	903	1524
514	906	1523
515	909	1525
516	912	1525
517	914	1524
518	916	1521
519	917	1519
520	918	1516
521	921	1516
522	924	1515
523	925	1514
524	927	1512
525	928	1509
526	930	1507
527	931	1505
528	933	1503
529	935	1502
530	937	1500
531	938	1498
532	940	1496
533	942	1494
534	943	1492
535	945	1490
536	947	1488
537	949	1487
538	951	1486
539	954	1485
540	955	1484
541	957	1481
542	959	1480
543	960	1478
544	962	1476
545	964	1475
546	967	1474
547	968	1472
548	970	1470
549	971	1468
550	972	1465
551	974	1462
552	975	1460
553	976	1458
554	978	1456
555	980	1455
556	982	1453
557	983	1451
558	985	1448
559	986	1446
560	987	1443
561	989	1442
562	991	1440
563	994	1440
564	996	1439
565	998	1437
566	999	1435
567	1001	1432
568	1002	1430
569	1003	1428
570	1005	1425
571	1006	1424
572	1009	1423
573	1011	1421
574	1012	1419
575	1014	1417
576	1015	1415
577	1016	1412
578	1018	1410
579	1019	1407
580	1020	1405
581	1022	1403
582	1027	1406
583	1029	1405
584	1031	1403
585	1033	1401
586	1034	1399
587	1035	1396
588	1037	1395
589	1040	1395
590	1042	1393
591	1044	1391
592	1045	1389
593	1047	1387
594	1048	1385
595	1050	1383
596	1053	1383
597	1056	1383
598	1058	1381
599	1060	1379
600	1061	1377
601	1063	1376
602	1064	1373
603	1066	1371
604	1067	1369
605	1069	1368
606	1073	1368
607	1075	1366
608	1076	1364
609	1078	1362
610	1079	1360
611	1080	1358
612	1083	1357
613	1085	1356
614	1087	1354
615	1089	1352
616	1091	1351
617	1092	1349
618	1094	1346
619	1095	1344
620	1097	1342
621	1099	1341
622	1100	1339
623	1102	1337
624	1104	1336
625	1106	1334
626	1107	1332
627	1109	1330
628	1111	1328
629	1114	1328
630	1116	1327
631	1118	1325
632	1119	1323
633	1121	1321
634	1123	1320
635	1125	1318
636	1127	1316
637	1129	1315
638	1131	1313
639	1132	1311
640	1134	1309
641	1136	1307
642	1137	1305
643	1139	1303
644	1140	1301
645	1142	1299
646	1144	1298
647	1146	1296
648	1147	1294
649	1148	1292
650	1150	1289
651	1151	1287
652	1152	1285
653	1154	1283
654	1155	1281
655	1157	1279
656	1159	1277
657	1164	1279
658	1167	1278
659	1168	1276
660	1170	1275
661	1172	1272
662	1173	1271
663	1175	1269
664	1177	1267
665	1179	1265
666	1180	1263
667	1182	1261
668	1183	1259
669	1184	1257
670	1186	1255
671	1188	1254
672	1190	1252
673	1191	1250
674	1193	1248
675	1195	1246
676	1196	1244
677	1197	1241
678	1199	1240
679	1202	1239
680	1203	1237
681	1205	1235
682	1206	1233
683	1208	1231
684	1209	1229
685	1211	1227
686	1212	1225
687	1214	1223
688	1218	1223
689	1219	1221
690	1221	1219
691	1222	1217
692	1224	1215
693	1226	1213
694	1227	1211
695	1229	1210
696	1232	1209
697	1235	1208
698	1236	1206
699	1238	1205
700	1240	1203
701	1241	1201
702	1243	1199
703	1246	1198
704	1248	1197
705	1250	1195
706	1253	1194
707	1254	1192
708	1256	1191
709	1258	1189
710	1260	1187
711	1262	1186
712	1263	1184
713	1265	1182
714	1267	1180
715	1269	1178
716	1270	1176
717	1272	1174
718	1273	1172
719	1274	1170
720	1277	1169
721	1279	1168
722	1282	1166
723	1283	1164
724	1285	1163
725	1287	1161
726	1288	1159
727	1291	1158
728	1292	1156
729	1294	1154
730	1296	1152
731	1297	1150
732	1299	1148
733	1300	1146
734	1301	1144
735	1304	1143
736	1306	1141
737	1308	1140
738	1310	1138
739	1311	1135
740	1313	1134
741	1314	1132
742	1316	1130
743	1317	1128
744	1319	1126
745	1322	1125
746	1323	1123
747	1325	1121
748	1326	1119
749	1328	1117
750	1329	1115
751	1330	1113
752	1332	1110
753	1333	1109
754	1336	1108
755	1338	1106
756	1340	1104
757	1341	1102
758	1343	1100
759	1344	1098
760	1346	1096
761	1347	1094
762	1350	1093
763	1352	1091
